id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_url_direct,job_type,interval,currency,description,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_industry,company_num_employees,company_revenue,relevance_score
li-4334932571,linkedin,https://www.linkedin.com/jobs/view/4334932571,Spanish Voice Actor - Freelance AI Trainer Project,"Meridial Marketplace, by Invisible",,2026-05-20,False,,https://www.linkedin.com/company/meridial-marketplace,,,,,,,,,,,,,,,,15
li-4413602868,linkedin,https://www.linkedin.com/jobs/view/4413602868,Trainees (m/w/x) als IT- Trainer/Dozenten für Fachinformatiker Systemintegration (m/w/x),GFN,,2026-05-20,False,,https://de.linkedin.com/school/gfn-gmbh/,,,,,,,,,,,,,,,,15
li-4413601875,linkedin,https://www.linkedin.com/jobs/view/4413601875,Trainer/Dozenten für Linux-Weiterbildungen und IT-Umschulungen (remote),GFN,,2026-05-20,True,,https://de.linkedin.com/school/gfn-gmbh/,,,,,,,,,,,,,,,,15
li-4413319370,linkedin,https://www.linkedin.com/jobs/view/4413319370,Machine Learning Engineer,Xantura Limited,"Greater London, England, UK",2026-05-19,False,,https://uk.linkedin.com/company/xantura,,,,,,,,,,,,,,,,15
li-4413317942,linkedin,https://www.linkedin.com/jobs/view/4413317942,Machine Learning Engineer,Matchtech,"Greater Bristol Area, United Kingdom",2026-05-19,False,,https://uk.linkedin.com/company/matchtech,,,,,,,,,,,,,,,,15
li-4413381251,linkedin,https://www.linkedin.com/jobs/view/4413381251,Computer Vision Engineer,Meet Life Sciences,"San Diego, CA",2026-05-19,False,,https://uk.linkedin.com/company/meet,,,,,,,,,,,,,,,,15
li-4415755203,linkedin,https://www.linkedin.com/jobs/view/4415755203,Data Analyst (AI & Data Platform),Everbridge,"Bengaluru, Karnataka, India",2026-05-19,False,,https://www.linkedin.com/company/everbridge,,,,,,,,,,,,,,,,15
li-4416251635,linkedin,https://www.linkedin.com/jobs/view/4416251635,Data Scientist,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",2026-05-18,False,,https://eg.linkedin.com/company/mobility-cairo,,,,,,,,,,,,,,,,15
li-4415481865,linkedin,https://www.linkedin.com/jobs/view/4415481865,AI Engineer,SPARC AI,"Melbourne, Victoria, Australia",2026-05-18,False,,https://www.linkedin.com/company/sparc-ai,,,,,,,,,,,,,,,,15
li-4416257536,linkedin,https://www.linkedin.com/jobs/view/4416257536,Digital & AI Internship,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",2026-05-18,False,,https://eg.linkedin.com/company/mobility-cairo,,,,,,,,,,,,,,,,15
li-4411210833,linkedin,https://www.linkedin.com/jobs/view/4411210833,AI Engineer,Casumo,"Swieqi, Malta",2026-05-18,False,,https://mt.linkedin.com/company/casumo,,,,,,,,,,,,,,,,15
li-4382112194,linkedin,https://www.linkedin.com/jobs/view/4382112194,Computer Vision Engineer,Harmattan AI,"Lausanne, Vaud, Switzerland",2026-05-18,False,,https://fr.linkedin.com/company/harmattan-ai,,,,,,,,,,,,,,,,15
li-4416251633,linkedin,https://www.linkedin.com/jobs/view/4416251633,Operations Data Scientist,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",2026-05-18,False,,https://eg.linkedin.com/company/mobility-cairo,,,,,,,,,,,,,,,,15
li-4415487526,linkedin,https://www.linkedin.com/jobs/view/4415487526,Data Analyst (Freshers),AppZime Technologies,,2026-05-18,False,,https://in.linkedin.com/company/appzime,,,,,,,,,,,,,,,,15
li-4375697123,linkedin,https://www.linkedin.com/jobs/view/4375697123,Machine Learning Engineer,algo1,"London, England, UK",2026-05-17,False,,https://www.linkedin.com/company/algo1,,,,,,,,,,,,,,,,15
